,brand,url,price_actual,size_30,size_32,size_34,size_36,size_38,size_40,size_42,size_44,size_46,size_48,discount_rate,_Blouses,_Bodycon Dress,_Bomber Jackets,_Cardigans,_Coats,_Culottes,_Denim Pants,_Down-coat,_Hoodies,_Jackets,_Jumpers,_Jumpsuits,_Knee Length Skirt,_Long Coats,_Maxi Dress,_Maxi Skirt,_Midi Dress,_Midi Skirt,_Mini Dress,_Mini Skirt,_One piece Swimsuit,_Pyjamas,_Shirts,_Shorts,_T-shirts,_Tops,_Trench Coats,_Trousers,_Turtle Necks,item,compositions,new_compositions_Acrylique,new_compositions_Cachemire,new_compositions_Chanvre,new_compositions_Coton,new_compositions_Cuir,new_compositions_Fourrure,new_compositions_Laine,new_compositions_Lin,new_compositions_Poly...,new_compositions_Polyamide,new_compositions_Polyester,new_compositions_Soie,new_compositions_Viscose,colors_Anthracite,colors_Argent,colors_Aubergine,colors_Beige,colors_Blanc,colors_Bleu,colors_Bleu ciel,colors_Bleu d'azur,colors_Bleu foncé,colors_Bleu pétrole,colors_Bleu électrique,colors_Bleu-gris,colors_Bordeaux,colors_Brique,colors_Camel,colors_Chair,colors_Chocolat,colors_Corail,colors_Cuivre,colors_Fuchsia,colors_Gris,colors_Gris clair,colors_Gris tourterelle,colors_Ivoire,colors_Jaune,colors_Jaune clair,colors_Kaki,colors_Marron,colors_Mauve,colors_Moka,colors_Noir,colors_Noisette,colors_Ocre,colors_Or,colors_Orange,colors_Platine,colors_Plomb,colors_Pourpre,colors_Rose,colors_Rose clair,colors_Rouge,colors_Rouille,colors_Sable,colors_Saumon,colors_Turquoise,colors_Vert,colors_Vert acide,colors_Vert clair,colors_Vert foncé,colors_Vert militaire,colors_Vert pétrole,colors_Vert émeraude,colors_Vieux rose,colors_Violet,colors_Violet clair,colors_Violet foncé
2706,BRUNELLO CUCINELLI,http://yoox.com/fr/13065427TS/item,239.0,0,0,0,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13065427TS,"96% Coton, 4% Élasthanne",0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2707,BRUNELLO CUCINELLI,http://yoox.com/fr/12398815EK/item,580.0,0,0,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12398815EK,"96% Soie, 4% Élasthanne",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.96,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2708,BRUNELLO CUCINELLI,http://yoox.com/fr/12243850IX/item,444.0,0,0,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12243850IX,"96% Soie, 4% Élasthanne, Laiton",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.96,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2709,MARNI,http://yoox.com/fr/36874656BE/item,153.0,0,0,1,1,1,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36874656BE,"58% Viscose, 42% Acétate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2710,PHILOSOPHY di LORENZO SERAFINI,http://yoox.com/fr/34946304RB/item,1036.0,0,0,1,1,1,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34946304RB,100% Polyester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2711,N°21,http://yoox.com/fr/13396074EH/item,239.0,0,0,0,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13396074EH,"72% Viscose, 20% Laine, 8% Polyamide",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2712,PHILOSOPHY di LORENZO SERAFINI,http://yoox.com/fr/12379227CE/item,114.0,0,0,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12379227CE,100% Coton,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713,GUCCI,http://yoox.com/fr/49531700UT/item,1600.0,0,0,1,0,1,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49531700UT,100% Soie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2715,SAINT LAURENT,http://yoox.com/fr/38860354IK/item,1043.0,0,0,0,0,1,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38860354IK,"98% Soie, 2% Polyester métallisé",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.98,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2716,CHLOÉ,http://yoox.com/fr/35427786XN/item,750.0,0,0,0,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35427786XN,100% Soie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
