Brand,Description,SalePrice,OriginalPrice
KAIN,Jacket,120.2,215.2
KARL DONOGHUE,Jacket,646.5,1157.5
KATE SPADE New York,Jacket,228.33333333333334,513.2222222222222
KENZO,Jacket,150.0,300.0
KHAITE,Jacket,647.0,1358.3333333333333
KITX,Jacket,277.6666666666667,585.0
KOCHÉ,Jacket,303.0,675.0
KSUBI,Jacket,160.5,292.5
L'AGENCE,Jacket,206.36363636363637,478.54545454545456
LANVIN,Jacket,897.375,2308.75
LELA ROSE,Jacket,757.5,1621.5
LINE,Jacket,101.0,214.0
LOEWE,Jacket,777.0,1295.0
LOVE MOSCHINO,Jacket,176.7,376.1
MACKINTOSH,Jacket,462.0,985.0
MAGDA BUTRYM,Jacket,626.6,1484.0
MAISON MARGIELA,Jacket,652.0,1352.3333333333333
MAJE,Jacket,199.625,338.125
MAJESTIC FILATURES,Jacket,123.5,304.0
MANSUR GAVRIEL,Jacket,360.0,720.0
MARC JACOBS,Jacket,352.2857142857143,750.7142857142857
MARCHESA,Jacket,1020.0,2040.0
MARCO DE VINCENZO,Jacket,316.0,850.0
MARKUS LUPFER,Jacket,279.25,647.5
MARNI,Jacket,519.0,1290.2307692307693
MARQUES' ALMEIDA,Jacket,220.0,490.0
MATTHEW ADAMS DOLAN,Jacket,388.5,905.0
METEO by YVES SALOMON,Jacket,623.5,1637.5
MICHAEL KORS COLLECTION,Jacket,522.8,1734.0
MICHAEL LO SORDO,Jacket,237.0,475.0
MICHAEL MICHAEL KORS,Jacket,240.42307692307693,483.65384615384613
MICHELLE MASON,Jacket,313.0,731.0
MILLY,Jacket,274.0,725.0
MISSONI,Jacket,561.6363636363636,1513.7272727272727
MIU MIU,Jacket,903.3333333333334,1981.6666666666667
MM6 MAISON MARGIELA,Jacket,388.5,859.0
MONSE,Jacket,1012.0,2250.0
MOSCHINO,Jacket,428.0,877.5
MOTHER,Jacket,219.0,438.0
MOTHER OF PEARL,Jacket,294.5,622.5
MR & MRS ITALY,Jacket,1633.0,2970.0
MSGM,Jacket,302.9166666666667,744.5
MUGLER,Jacket,607.0,1228.5
MUUBAA,Jacket,267.01851851851853,536.0
McQ Alexander McQueen,Jacket,463.0,946.4285714285714
NANUSHKA,Jacket,207.0,427.5
NINA RICCI,Jacket,444.3888888888889,1378.888888888889
NINETY PERCENT,Jacket,107.0,178.33333333333334
NOIR KEI NINOMIYA,Jacket,476.0,1035.0
NORMA KAMALI,Jacket,152.16666666666666,341.8333333333333
OFF-WHITE™,Jacket,935.25,1566.25
OPENING CEREMONY,Jacket,188.5,475.0
OSCAR DE LA RENTA,Jacket,964.6315789473684,2514.4736842105262
OSMAN,Jacket,356.5,955.0
PACO RABANNE,Jacket,268.75,605.0
PAPER London,Jacket,128.0,420.0
PETAR PETROV,Jacket,487.75,1121.25
PETER PILOTTO,Jacket,633.5,1571.25
PHILOSOPHY di LORENZO SERAFINI,Jacket,581.0,1272.5
PIAZZA SEMPIONE,Jacket,334.4,813.0
PORTS 1961,Jacket,474.0,1075.0
PRABAL GURUNG,Jacket,688.0,1565.0
PRADA,Jacket,1041.6363636363637,1822.7272727272727
PREEN by THORNTON BREGAZZI,Jacket,546.0,1560.0
PROENZA SCHOULER,Jacket,733.0,2106.6666666666665
PROENZA SCHOULER PSWL,Jacket,278.5,557.5
PROTAGONIST,Jacket,448.0,895.0
PUSHBUTTON,Jacket,335.0,694.3333333333334
R13,Jacket,378.6666666666667,758.3333333333334
RACHEL GILBERT,Jacket,366.0,815.0
RACHEL ZOE,Jacket,201.0,426.5
RACIL,Jacket,403.57894736842104,863.8421052631579
RAG & BONE,Jacket,312.23333333333335,688.5
RAQUEL ALLEGRA,Jacket,339.5,679.0
RE/DONE,Jacket,248.0,481.3333333333333
RE/DONE with LEVI'S,Jacket,113.5,209.5
REBECCA MINKOFF,Jacket,232.5,476.25
REBECCA TAYLOR,Jacket,280.25,657.5
REDValentino,Jacket,367.25,765.5
REJINA PYO,Jacket,222.0,445.0
RICK OWENS,Jacket,721.7878787878788,1570.7272727272727
ROBERT RODRIGUEZ,Jacket,150.0,505.0
ROBERTO CAVALLI,Jacket,707.5,1839.0714285714287
ROCHAS,Jacket,395.0,790.0
ROKH,Jacket,446.0,942.75
ROKSANDA,Jacket,661.6,1678.0
ROLAND MOURET,Jacket,720.0909090909091,1553.6363636363637
ROSETTA GETTY,Jacket,446.0,1115.0
ROSIE ASSOULIN,Jacket,543.5,1490.0
RTA,Jacket,379.5,781.0
SACAI,Jacket,770.0,1880.0
SAFIYAA,Jacket,389.5,1022.5
SAINT LAURENT,Jacket,1892.7777777777778,3324.4444444444443
SANDRO,Jacket,204.83333333333334,344.44444444444446
SARA BATTAGLIA,Jacket,435.0,990.0
SEE BY CHLOÉ,Jacket,370.0,740.0
SELF-PORTRAIT,Jacket,183.0,335.0
SHRIMPS,Jacket,268.0,504.1666666666667
SIES MARJAN,Jacket,470.3333333333333,1196.6666666666667
SIMON MILLER,Jacket,256.5,514.0
SIMONE ROCHA,Jacket,645.0,1435.0
SJYP,Jacket,344.0,675.0
SOIA & KYO,Jacket,282.0,471.0
SONIA RYKIEL,Jacket,497.5833333333333,1175.0
SPLENDID,Jacket,80.0,320.0
SPRWMN,Jacket,792.0,1760.0
STAND STUDIO,Jacket,270.6666666666667,595.8
STELLA JEAN,Jacket,379.2857142857143,855.1428571428571
STELLA McCARTNEY,Jacket,551.7777777777778,1377.2222222222222
SUNDRY,Jacket,110.0,220.0
TALITHA,Jacket,373.25,882.5
TEMPERLEY LONDON,Jacket,447.875,972.5
THE GREAT.,Jacket,220.0,440.0
