Brand,Description,SalePrice,OriginalPrice
JOIE,Skirt,198.0,396.6666666666667
JONATHAN SIMKHAI,Skirt,210.16666666666666,517.6666666666666
JOSEPH,Skirt,188.7,428.5
JUAN CARLOS OBANDO,Skirt,632.0,1405.0
JUST CAVALLI,Skirt,244.5,527.0
KATE SPADE New York,Skirt,174.1,357.1
KENZO,Skirt,219.0,438.3333333333333
KHAITE,Skirt,395.0,920.0
KITX,Skirt,206.13333333333333,417.3333333333333
KSUBI,Skirt,107.0,195.0
L'AGENCE,Skirt,103.5,263.5
LA LIGNE,Skirt,95.0,475.0
LANVIN,Skirt,566.2857142857143,1433.2142857142858
LELA ROSE,Skirt,444.0,922.3333333333334
LES HÉROÏNES by VANESSA COCCHIARO,Skirt,139.63636363636363,273.6363636363636
LISA MARIE FERNANDEZ,Skirt,256.0,512.5
LOEWE,Skirt,354.0,590.0
LOVE MOSCHINO,Skirt,109.1875,249.875
LOVE SAM,Skirt,151.2,326.0
LOVE STORIES,Skirt,50.0,110.0
LOVER,Skirt,132.0,247.5
M MISSONI,Skirt,271.44444444444446,527.8888888888889
MAGDA BUTRYM,Skirt,460.5,1003.75
MAGGIE MARILYN,Skirt,139.66666666666666,386.6666666666667
MAISON MARGIELA,Skirt,582.0,1723.0
MAJE,Skirt,120.3076923076923,208.07692307692307
MANSUR GAVRIEL,Skirt,270.0,540.0
MARC JACOBS,Skirt,250.6153846153846,597.6923076923077
MARCO DE VINCENZO,Skirt,364.0,995.0
MARISSA WEBB,Skirt,202.0,405.0
MARKUS LUPFER,Skirt,210.25,446.25
MARNI,Skirt,288.5,807.6785714285714
MARQUES' ALMEIDA,Skirt,198.375,446.875
MARY KATRANTZOU,Skirt,482.8,919.0
MASSCOB,Skirt,168.0,324.0
MATTHEW WILLIAMSON,Skirt,164.0,334.0
MDS STRIPES,Skirt,153.0,320.0
MERLETTE,Skirt,134.66666666666666,293.3333333333333
MICHAEL KORS COLLECTION,Skirt,352.75,992.5
MICHAEL LO SORDO,Skirt,169.66666666666666,340.0
MICHAEL MICHAEL KORS,Skirt,168.0,340.0
MICHELLE MASON,Skirt,220.0,490.0
MIGUELINA,Skirt,168.5,338.3333333333333
MIKAEL AGHAL,Skirt,213.33333333333334,474.1666666666667
MILLY,Skirt,206.88888888888889,470.0
MISSONI,Skirt,391.05,856.5
MIU MIU,Skirt,294.0,490.0
MONIQUE LHUILLIER,Skirt,1151.0,3290.0
MOSCHINO,Skirt,312.2857142857143,618.5714285714286
MOTHER,Skirt,143.0,286.6666666666667
MOTHER OF PEARL,Skirt,242.0,462.5
MSGM,Skirt,218.5,525.5
MUGLER,Skirt,393.7142857142857,801.0714285714286
MUUBAA,Skirt,164.6,330.0
McQ Alexander McQueen,Skirt,204.15384615384616,406.9230769230769
NANUSHKA,Skirt,208.5,377.5
NARCISO RODRIGUEZ,Skirt,540.5,1180.0
NICHOLAS,Skirt,158.16666666666666,376.25
NINA RICCI,Skirt,347.47058823529414,914.1176470588235
NINETY PERCENT,Skirt,50.7,84.5
OSCAR DE LA RENTA,Skirt,593.9642857142857,1588.2142857142858
PACO RABANNE,Skirt,304.38461538461536,651.5384615384615
PAPER London,Skirt,179.5,330.0
PAUL & JOE,Skirt,160.0,320.0
PERSEVERANCE,Skirt,143.85714285714286,258.2857142857143
PETAR PETROV,Skirt,539.0,1100.0
PETER PILOTTO,Skirt,468.46666666666664,1155.0
PHILOSOPHY di LORENZO SERAFINI,Skirt,443.3333333333333,934.3333333333334
PIAZZA SEMPIONE,Skirt,209.0,510.0
PRABAL GURUNG,Skirt,494.5,990.0
PRADA,Skirt,549.1428571428571,978.5714285714286
PREEN LINE,Skirt,164.42857142857142,345.0
PREEN by THORNTON BREGAZZI,Skirt,247.5,505.0
PRINGLE OF SCOTLAND,Skirt,253.33333333333334,613.8888888888889
PROENZA SCHOULER,Skirt,528.625,1468.75
PUSHBUTTON,Skirt,230.5,460.75
RACHEL GILBERT,Skirt,241.0,572.8
RACHEL ZOE,Skirt,178.0,356.0
RAG & BONE,Skirt,173.83333333333334,366.6666666666667
RAOUL,Skirt,142.66666666666666,343.3333333333333
RE/DONE,Skirt,159.0,290.0
RE/DONE with LEVI'S,Skirt,136.5,452.5
REBECCA MINKOFF,Skirt,88.0,176.25
REBECCA TAYLOR,Skirt,207.0,415.0
REBECCA VALLANCE,Skirt,133.5,267.5
REDValentino,Skirt,299.8958333333333,628.875
REEM ACRA,Skirt,763.0,2077.5
RICK OWENS,Skirt,294.85714285714283,646.7857142857143
ROBERTO CAVALLI,Skirt,439.6923076923077,1174.3846153846155
ROCHAS,Skirt,322.0,621.0
ROKH,Skirt,309.625,612.625
ROKSANDA,Skirt,490.6,1090.5
ROLAND MOURET,Skirt,430.2307692307692,1040.3846153846155
ROSETTA GETTY,Skirt,353.5,987.5
ROSIE ASSOULIN,Skirt,565.1,1462.0
RTA,Skirt,205.71428571428572,463.57142857142856
SAINT LAURENT,Skirt,1170.0,2490.0
SANDRO,Skirt,121.2,202.0
SEA,Skirt,183.25,341.25
SEE BY CHLOÉ,Skirt,130.0,326.25
SELF-PORTRAIT,Skirt,163.5,290.0
SHRIMPS,Skirt,222.0,445.0
SID NEIGUM,Skirt,172.0,371.0
SIES MARJAN,Skirt,347.5,815.0
SILVIA TCHERASSI,Skirt,265.0,530.0
SIMON MILLER,Skirt,112.0,208.0
SIMONE ROCHA,Skirt,512.25,1255.0
SONIA RYKIEL,Skirt,279.46153846153845,676.9230769230769
SPRWMN,Skirt,653.0,1452.5
STAND STUDIO,Skirt,169.33333333333334,332.3333333333333
STELLA JEAN,Skirt,307.9,641.25
STELLA McCARTNEY,Skirt,324.8888888888889,791.1111111111111
TEMPERLEY LONDON,Skirt,518.8333333333334,1245.0
THE RANGE,Skirt,100.0,189.66666666666666
THE ROW,Skirt,736.0,1887.5
THEORY,Skirt,176.86666666666667,384.0
THOM BROWNE,Skirt,770.0,1540.0
THREE GRACES LONDON,Skirt,345.0,690.0
TIBI,Skirt,262.09090909090907,587.7272727272727
TOM FORD,Skirt,953.0,2276.6666666666665
TOMAS MAIER,Skirt,279.6666666666667,696.6666666666666
TOME,Skirt,212.75,531.25
TORY BURCH,Skirt,421.0,835.8333333333334
ULLA JOHNSON,Skirt,310.0,620.0
VALENTINO,Skirt,1053.5,3129.318181818182
VANESSA BRUNO,Skirt,141.25,308.75
VERONICA BEARD,Skirt,178.16666666666666,436.6666666666667
VERSACE,Skirt,294.75,696.25
VERSUS VERSACE,Skirt,175.23076923076923,341.15384615384613
VETEMENTS,Skirt,482.5,1715.0
VICTORIA BECKHAM,Skirt,603.3333333333334,1347.5555555555557
"VICTORIA, VICTORIA BECKHAM",Skirt,238.6153846153846,496.53846153846155
VILSHENKO,Skirt,299.6666666666667,666.6666666666666
VINCE.,Skirt,198.375,362.8125
VIONNET,Skirt,238.0,944.0
W118 by WALTER BAKER,Skirt,92.4,181.0
WALTER BAKER,Skirt,179.4,357.0
ZIMMERMANN,Skirt,489.0,1000.6666666666666
ÊTRE CÉCILE,Skirt,128.33333333333334,256.6666666666667
