Brand,Description,SalePrice,OriginalPrice
NICHOLAS,Top,144.2,314.0
NINA RICCI,Top,281.95652173913044,696.0869565217391
NINETY PERCENT,Top,48.130434782608695,80.21739130434783
NORMA KAMALI,Top,73.2,159.2
N°21,Top,139.0,310.0
OAK,Top,33.666666666666664,144.0
OFF-WHITE™,Top,588.0,980.0
OPENING CEREMONY,Top,107.0,233.75
OSCAR DE LA RENTA,Top,570.6315789473684,1539.7631578947369
OSMAN,Top,172.0,407.5
PACO RABANNE,Top,302.5,657.8571428571429
PAPER London,Top,80.16666666666667,220.83333333333334
PARADISED,Top,44.0,85.0
PAUL & JOE,Top,184.16666666666666,353.3333333333333
PERSEVERANCE,Top,145.22222222222223,260.55555555555554
PETAR PETROV,Top,389.5,787.5
PETER PILOTTO,Top,316.0,746.1111111111111
PETERSYN,Top,140.0,300.45454545454544
PETIT BATEAU,Top,28.6,56.666666666666664
PHILOSOPHY di LORENZO SERAFINI,Top,216.41666666666666,453.0
PIAZZA SEMPIONE,Top,187.38888888888889,488.72222222222223
PLACE NATIONALE,Top,88.0,290.0
PRABAL GURUNG,Top,354.25,708.75
PRADA,Top,483.2,754.0
PREEN LINE,Top,165.5,307.5
PREEN by THORNTON BREGAZZI,Top,335.7142857142857,759.2857142857143
PRINGLE OF SCOTLAND,Top,164.6,478.0
PROENZA SCHOULER,Top,270.8333333333333,605.8333333333334
PROENZA SCHOULER PSWL,Top,150.8181818181818,285.45454545454544
PUSHBUTTON,Top,197.4,412.3
R13,Top,194.4,389.5
RACHEL GILBERT,Top,255.66666666666666,618.3333333333334
RACHEL ZOE,Top,132.14285714285714,301.42857142857144
RACIL,Top,170.53333333333333,389.6666666666667
RAG & BONE,Top,98.58823529411765,215.14705882352942
RAOUL,Top,131.5,323.75
RAQUEL ALLEGRA,Top,187.375,380.5
RE/DONE,Top,86.2,177.4
REBECCA MINKOFF,Top,72.18181818181819,141.36363636363637
REBECCA TAYLOR,Top,144.75,316.5
REBECCA VALLANCE,Top,91.0,230.0
REDValentino,Top,210.01960784313727,455.20588235294116
REEM ACRA,Top,782.4,1955.0
REJINA PYO,Top,190.0,380.0
RICK OWENS,Top,375.56410256410254,790.6153846153846
RICK OWENS LILIES,Top,222.0,455.0
ROBERT RODRIGUEZ,Top,163.85714285714286,382.14285714285717
ROBERTO CAVALLI,Top,355.97222222222223,950.5277777777778
ROCHAS,Top,244.5,465.25
ROCKINS,Top,128.0,338.0
ROKH,Top,240.55555555555554,462.22222222222223
ROKSANDA,Top,366.7931034482759,788.1034482758621
ROLAND MOURET,Top,407.22222222222223,921.074074074074
ROSETTA GETTY,Top,331.27272727272725,796.5454545454545
ROSIE ASSOULIN,Top,530.2857142857143,1355.5357142857142
RTA,Top,117.16129032258064,270.03225806451616
SACHIN & BABI,Top,171.0,380.0
SAINT LAURENT,Top,691.1739130434783,1258.5217391304348
SALONI,Top,150.5,320.625
SANDRO,Top,103.12162162162163,172.02702702702703
SEA,Top,117.0,279.2857142857143
SEE BY CHLOÉ,Top,96.53846153846153,258.84615384615387
SELF-PORTRAIT,Top,163.8,280.0
SENSI STUDIO,Top,98.0,200.0
SHRIMPS,Top,154.0,275.0
SID NEIGUM,Top,146.1818181818182,307.72727272727275
SIES MARJAN,Top,331.6666666666667,691.6666666666666
SILVIA TCHERASSI,Top,302.0,605.0
SIMON MILLER,Top,158.75,317.5
SIMONE ROCHA,Top,248.07692307692307,505.0
SLEEPY JONES,Top,30.0,55.0
SOLACE LONDON,Top,167.57142857142858,325.0
SONIA RYKIEL,Top,226.6875,489.375
