Brand,Description,SalePrice,OriginalPrice
J.MENDEL,Pants,587.0,1468.0
J.W.ANDERSON,Pants,319.5,726.25
JACQUEMUS,Pants,112.0,560.0
JAMES PERSE,Pants,119.5,287.5
JASON WU,Pants,333.5,897.75
JENNY PACKHAM,Pants,506.0,1205.0
JIL SANDER,Pants,317.4166666666667,812.2916666666666
JOHANNA ORTIZ,Pants,521.25,1318.75
JOIE,Pants,131.2,263.0
JONATHAN SIMKHAI,Pants,273.75,645.0
JOSEPH,Pants,167.8961038961039,369.8051948051948
JUST CAVALLI,Pants,180.8,378.8
KAIN,Pants,94.0,172.0
KATE SPADE New York,Pants,146.2,300.5
KENZO,Pants,160.66666666666666,321.6666666666667
KHAITE,Pants,349.3,715.6
KIKI DE MONTPARNASSE,Pants,177.0,355.0
KITX,Pants,208.83333333333334,430.8333333333333
KOCHÉ,Pants,118.0,581.0
KORAL,Pants,69.0,182.5
KSUBI,Pants,96.0,175.0
L'AGENCE,Pants,127.0,255.0
LA LIGNE,Pants,168.66666666666666,356.6666666666667
LANVIN,Pants,412.1111111111111,953.3333333333334
LELA ROSE,Pants,318.8181818181818,756.5454545454545
LEMAIRE,Pants,239.0,478.0
LES HÉROÏNES by VANESSA COCCHIARO,Pants,107.2,233.0
LNA,Pants,50.0,165.0
LNDR,Pants,96.5,165.0
LOEWE,Pants,418.0,930.0
LOVE MOSCHINO,Pants,126.4,256.8
LOVE SAM,Pants,94.0,315.0
LOVE STORIES,Pants,43.0,85.0
LOVER,Pants,85.0,285.0
M MISSONI,Pants,244.6,469.8
M.I.H JEANS,Pants,101.0,270.0
MACKINTOSH,Pants,105.14285714285714,209.71428571428572
MAGDA BUTRYM,Pants,324.5,690.0
MAGGIE MARILYN,Pants,182.2,382.0
MAISON MARGIELA,Pants,312.3333333333333,703.0
MAJE,Pants,116.75,196.25
MAJESTIC FILATURES,Pants,125.0,228.0
MANSUR GAVRIEL,Pants,218.0909090909091,425.0
MARC JACOBS,Pants,238.27272727272728,521.8181818181819
MARCO DE VINCENZO,Pants,203.0,530.0
MARISSA WEBB,Pants,233.0,533.3333333333334
MARKUS LUPFER,Pants,159.9090909090909,315.45454545454544
MARNI,Pants,268.9117647058824,715.0882352941177
MARQUES' ALMEIDA,Pants,232.5,521.25
MARY KATRANTZOU,Pants,539.5,1115.0
MERCHANT ARCHIVE,Pants,179.0,895.0
MICHAEL KORS COLLECTION,Pants,267.8,725.5
MICHAEL LO SORDO,Pants,197.5,395.0
MICHAEL MICHAEL KORS,Pants,150.3846153846154,337.6923076923077
MICHELLE MASON,Pants,208.9090909090909,460.0
MIGUELINA,Pants,102.0,340.0
MILLY,Pants,171.66666666666666,401.6666666666667
MISSONI,Pants,357.0217391304348,987.3913043478261
MIU MIU,Pants,406.3333333333333,778.3333333333334
MM6 MAISON MARGIELA,Pants,180.25,379.5
MONROW,Pants,88.83333333333333,199.83333333333334
MONSE,Pants,400.4,917.0
MOSCHINO,Pants,338.6666666666667,740.8333333333334
MOTHER,Pants,109.0,295.0
MOTHER OF PEARL,Pants,226.5,435.0
MSGM,Pants,167.75,400.0625
MUGLER,Pants,410.2631578947368,861.3157894736842
MUUBAA,Pants,248.3,531.0
McQ Alexander McQueen,Pants,187.46153846153845,381.9230769230769
NAEEM KHAN,Pants,837.0,1675.0
NANUSHKA,Pants,209.46153846153845,386.9230769230769
NARCISO RODRIGUEZ,Pants,402.5,845.0
NICHOLAS,Pants,142.625,391.25
NILI LOTAN,Pants,337.5,749.0
NINA RICCI,Pants,311.5,837.5
NINETY PERCENT,Pants,77.0,128.33333333333334
NO KA 'OI,Pants,129.0,275.0
NORMA KAMALI,Pants,91.0,184.25
OFF-WHITE™,Pants,649.0,1420.0
OLIVIA VON HALLE,Pants,242.0,485.0
ONIA,Pants,73.16666666666667,124.66666666666667
OPENING CEREMONY,Pants,123.0,299.4
OSCAR DE LA RENTA,Pants,474.76190476190476,1260.8095238095239
OSMAN,Pants,198.6,484.0
P.E NATION,Pants,132.0,265.0
PACO RABANNE,Pants,223.0,451.1111111111111
PAIGE,Pants,132.0,265.0
PALLAS,Pants,390.0,780.0
PAPER London,Pants,131.875,329.375
PAUL & JOE,Pants,162.0,325.0
PERSEVERANCE,Pants,146.0,255.0
PETAR PETROV,Pants,110.0,550.0
PETER PILOTTO,Pants,348.6666666666667,778.8888888888889
PHILOSOPHY di LORENZO SERAFINI,Pants,181.33333333333334,415.0
PIAZZA SEMPIONE,Pants,147.78571428571428,345.7142857142857
PORTS 1961,Pants,235.66666666666666,541.6666666666666
PRADA,Pants,499.3333333333333,880.0
PRINGLE OF SCOTLAND,Pants,165.83333333333334,436.6666666666667
PROENZA SCHOULER,Pants,341.125,758.75
