,UserId,PostId,Followings,Followers,MediaCount,BrandName,BrandCategory,BrandFollowers,Hashtags,Caption,Likes,Comments ,Selfie,BodySnap,Marketing,ProductOnly,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Emotion,Emotion_value
3184,1241553,1170700346643204868,912,130969,4428,Jcrew,High street,2 087 290,1,28,1795,33,0.01,0.91,0.25,0.0,0.96,0.12,0.03,0.29,0.07,1.34,4.9,Happiness,1.0
3185,874159,1171169735459537008,894,11085,6413,Jcrew,High street,2 087 290,24,22,177,9,0.0,1.0,0.03,0.0,0.99,0.06,0.01,0.29,0.92,1.08,5.3,Neutral,0.5
3186,54274295,1171431603390587831,1641,18300,1220,Jcrew,High street,2 087 290,8,21,161,7,0.0,0.03,0.0,0.91,0.0,0.25,0.06,0.0,0.03,0.29,1.43,NaN,0.0
3187,27443002,1171066593488071791,429,9696,2616,Jcrew,High street,2 087 290,5,29,160,6,0.0,0.07,0.98,0.01,0.96,0.61,0.16,0.11,0.01,1.84,5.99,Neutral,0.51
3188,145632196,1171411740834027252,881,9685,2755,Jcrew,High street,2 087 290,20,13,152,6,0.01,0.94,0.05,0.02,0.67,0.31,0.08,0.12,0.85,1.26,5.23,NaN,0.0
3189,1913029,1171307549818837309,4543,12101,897,Jcrew,High street,2 087 290,13,37,152,3,0.0,0.98,0.0,0.42,0.0,0.05,0.01,0.0,0.02,0.18,4.25,NaN,0.0
3190,271814719,1171168441878036519,7214,15585,13681,Jcrew,High street,2 087 290,21,60,15,1,0.0,0.0,0.01,1.0,0.0,0.94,0.08,0.0,0.0,0.08,4.07,NaN,0.0
3191,233855117,1171299711617980484,650,151277,2969,Jcrew,High street,2 087 290,16,15,1424,15,0.0,0.91,0.41,0.0,0.99,0.16,0.03,0.3,0.18,1.44,6.58,Neutral,0.9
3192,1331758635,1171407259641106503,1069,18973,1689,Jcrew,High street,2 087 290,18,31,140,6,0.0,1.0,0.0,0.0,0.96,0.12,0.01,0.56,0.99,1.25,5.69,NaN,0.0
3193,1314250717,1171368739192126176,1406,8899,12544,Jcrew,High street,2 087 290,29,117,14,2,0.0,0.05,0.91,0.01,0.83,0.27,0.2,0.03,0.01,1.21,4.11,Neutral,0.58
3194,353227651,1170819820219363971,750,21047,654,Jcrew,High street,2 087 290,23,54,14,0,0.0,0.09,0.02,0.78,0.01,1.0,0.08,0.0,0.0,0.17,1.94,NaN,0.0
3195,1913029,1171144804448295629,4543,12101,897,Jcrew,High street,2 087 290,18,33,134,2,0.0,0.97,0.01,0.05,0.05,0.09,0.04,0.01,0.02,0.56,3.22,NaN,0.0
3196,236819982,1171254666844823449,590,12034,1681,Jcrew,High street,2 087 290,12,36,131,9,0.0,0.0,0.73,0.41,0.25,0.99,0.13,0.01,0.0,0.47,5.49,NaN,0.0
3197,11170117,1171476707597736871,610,63417,2273,Jcrew,High street,2 087 290,30,6,1200,10,0.0,0.99,0.0,0.05,0.04,0.03,0.01,0.03,0.64,0.47,4.75,NaN,0.0
3198,353227651,1171425664204108125,750,21047,654,Jcrew,High street,2 087 290,23,43,12,0,0.0,0.0,0.0,1.0,0.0,1.0,0.04,0.0,0.0,0.05,1.5,NaN,0.0
3199,2877012,1171187829533799425,1695,15168,5464,Jcrew,High street,2 087 290,11,50,118,11,0.0,0.99,0.04,0.0,0.99,0.25,0.04,0.41,0.77,1.33,6.33,NaN,0.0
3200,2858604,1170690220588816220,4534,8495,290,Jcrew,High street,2 087 290,18,11,113,5,0.03,0.75,0.04,0.02,0.92,0.46,0.08,0.28,0.86,1.36,3.55,NaN,0.0
3201,571181118,1171036615830765221,503,13273,750,Jcrew,High street,2 087 290,20,80,111,11,0.01,1.0,0.0,0.0,0.74,0.29,0.02,0.33,0.91,0.95,3.99,NaN,0.0
3202,202591828,1171471928953443762,206,27259,1709,Jcrew,High street,2 087 290,9,33,100,8,0.01,0.99,0.01,0.0,1.0,0.03,0.01,0.44,0.85,0.95,2.96,Neutral,0.99
3203,371926817,1171549377733094081,41,14388,14096,Katespade,Designer,2 756 523,29,13,9,0,0.0,0.0,0.01,1.0,0.0,1.0,0.2,0.0,0.0,0.1,2.17,NaN,0.0
3204,356926447,1171548238207427276,584,28468,980,Katespade,Designer,2 756 523,0,9,9,2,0.0,0.01,0.03,0.57,0.01,1.0,0.66,0.01,0.0,0.43,1.21,NaN,0.0
3205,4663654,1171479310628363762,3661,23300,16629,Katespade,Designer,2 756 523,30,106,9,0,0.0,0.0,0.0,0.14,0.0,0.99,0.02,0.0,0.0,0.07,0.46,NaN,0.0
3206,2264490132,1171544348492436677,5049,23006,505,Katespade,Designer,2 756 523,24,28,85,3,0.0,0.02,0.02,0.95,0.01,0.9,0.24,0.01,0.02,0.45,2.3,NaN,0.0
3207,297308539,1171547891701338125,696,116434,7974,Katespade,Designer,2 756 523,4,75,84,2,0.0,0.01,0.01,0.98,0.01,0.92,0.08,0.0,0.01,0.22,2.58,NaN,0.0
3208,1504969227,1171549800328466857,6328,8025,3767,Katespade,Designer,2 756 523,26,13,62,5,0.0,0.0,0.05,0.98,0.01,1.0,0.18,0.0,0.0,0.19,3.51,NaN,0.0
3209,371926817,1171550239108917974,41,14388,14096,Katespade,Designer,2 756 523,29,13,8,0,0.0,0.01,0.03,0.98,0.01,0.94,0.13,0.0,0.01,0.31,2.34,NaN,0.0
3210,1495781788,1171548070628554401,4650,9572,3213,Katespade,Designer,2 756 523,22,47,8,0,0.0,0.0,0.01,0.82,0.01,1.0,0.17,0.0,0.02,0.2,1.47,NaN,0.0
3211,1495781788,1171548373650241189,4650,9572,3213,Katespade,Designer,2 756 523,22,47,7,0,0.01,0.04,0.02,0.24,0.05,0.95,0.18,0.02,0.11,0.49,1.77,NaN,0.0
3212,13268475,1171497939612619305,185,44301,618,Katespade,Designer,2 756 523,21,26,696,11,0.0,0.0,0.0,0.16,0.0,0.22,0.0,0.0,0.04,0.1,0.52,NaN,0.0
3213,25172627,1171439846890738355,355,16294,480,Katespade,Designer,2 756 523,4,31,69,1,0.18,0.52,0.23,0.01,0.99,0.93,0.33,0.64,0.31,2.63,3.85,Surprise,0.66
3214,1583148063,1171580183378911244,1221,7587,4218,Katespade,Designer,2 756 523,17,24,6,0,0.0,0.0,0.01,1.0,0.0,0.74,0.01,0.0,0.0,0.1,3.16,NaN,0.0
3215,1583148063,1171579736022835205,1221,7587,4218,Katespade,Designer,2 756 523,17,22,6,0,0.0,0.01,0.05,0.99,0.01,0.91,0.1,0.0,0.0,0.27,3.14,NaN,0.0
3216,371926817,1171549758039026376,41,14388,14096,Katespade,Designer,2 756 523,29,13,6,0,0.0,0.0,0.02,1.0,0.0,1.0,0.24,0.0,0.0,0.16,2.41,NaN,0.0
3217,1475095158,1171526402525265007,4476,13522,5446,Katespade,Designer,2 756 523,29,32,6,1,0.0,0.0,0.01,0.99,0.0,1.0,0.72,0.0,0.01,0.2,1.14,NaN,0.0
3218,4663654,1171480154723655167,3661,23300,16629,Katespade,Designer,2 756 523,30,106,6,0,0.0,0.33,0.01,0.6,0.01,0.23,0.07,0.01,0.06,0.33,2.45,NaN,0.0
3219,4663654,1171463471938215164,3661,23300,16629,Katespade,Designer,2 756 523,30,106,6,0,0.0,0.84,0.24,0.0,0.99,0.99,0.58,0.3,0.37,1.22,3.56,Neutral,0.76
3220,27328415,1171438904716648717,1200,33068,2163,Katespade,Designer,2 756 523,21,10,558,3,0.0,0.0,0.0,0.51,0.0,0.81,0.0,0.0,0.0,0.04,0.22,NaN,0.0
3221,2087316555,1171587350545322393,7535,22405,2562,Katespade,Designer,2 756 523,28,57,5,0,0.0,0.0,0.0,0.99,0.0,0.98,0.14,0.0,0.01,0.19,1.85,NaN,0.0
